0:0:0:0:0:0:0:1 - - [17/Sep/2018:20:47:55 +0900] "GET /Javascript/DOM/Element/Ex_06.jsp HTTP/1.1" 200 1426
0:0:0:0:0:0:0:1 - - [17/Sep/2018:20:47:55 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Sep/2018:20:48:00 +0900] "GET /Javascript/DOM/Element/Ex_06.jsp HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [17/Sep/2018:20:48:01 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Sep/2018:20:50:14 +0900] "GET /Javascript/DOM/Element/Ex_06.jsp HTTP/1.1" 200 1426
0:0:0:0:0:0:0:1 - - [17/Sep/2018:20:50:27 +0900] "GET /Javascript/DOM/Element/Ex_06.jsp HTTP/1.1" 200 1426
0:0:0:0:0:0:0:1 - - [17/Sep/2018:20:50:27 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Sep/2018:20:50:42 +0900] "GET /Javascript/DOM/Element/Ex_06.jsp HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [17/Sep/2018:20:50:42 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Sep/2018:20:50:43 +0900] "GET /Javascript/DOM/Element/Ex_06.jsp HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [17/Sep/2018:20:50:43 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Sep/2018:20:50:43 +0900] "GET /Javascript/DOM/Element/Ex_06.jsp HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [17/Sep/2018:20:50:43 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Sep/2018:20:57:26 +0900] "GET /Javascript/DOM/Element/Ex_07.jsp HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [17/Sep/2018:20:58:05 +0900] "GET /Javascript/DOM/Element/Ex_07.jsp HTTP/1.1" 200 1746
0:0:0:0:0:0:0:1 - - [17/Sep/2018:20:58:06 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Sep/2018:20:58:33 +0900] "GET /Javascript/DOM/Element/Ex_07.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [17/Sep/2018:20:58:34 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Sep/2018:20:58:43 +0900] "GET /Javascript/DOM/Element/Ex_07.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [17/Sep/2018:20:59:15 +0900] "GET /Javascript/DOM/Element/Ex_07.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [17/Sep/2018:20:59:30 +0900] "GET /Javascript/DOM/Element/Ex_07.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [17/Sep/2018:20:59:44 +0900] "GET /Javascript/DOM/Element/Ex_07.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [17/Sep/2018:21:13:48 +0900] "GET /Javascript/DOM/Element/Ex_09.jsp HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [17/Sep/2018:21:14:09 +0900] "GET /Javascript/DOM/Element/Ex_09.jsp HTTP/1.1" 200 1451
0:0:0:0:0:0:0:1 - - [17/Sep/2018:21:14:27 +0900] "GET /Javascript/DOM/Element/Ex_09.jsp HTTP/1.1" 200 1515
